title,url,landing,source,license,width,height,extension
Why does deep and cheap learning work so well?,https://live.staticflickr.com/5546/29215737084_ff114b37a3_b.jpg,https://www.flickr.com/photos/44124348109@N01/29215737084,flickr,by 2.0,791,1024,jpg
Google Tech Talk on the Dichotomy of Design,https://live.staticflickr.com/1231/5098796882_6381e9d655_b.jpg,https://www.flickr.com/photos/44124348109@N01/5098796882,flickr,by 2.0,1024,840,jpg
Deepdream #6,https://live.staticflickr.com/542/19718163226_7ee3a55e53.jpg,https://www.flickr.com/photos/12836528@N00/19718163226,flickr,by 2.0,334,500,jpg
Red Neural Network (strange hanging art in clothing store),https://live.staticflickr.com/7004/6618334377_13ce8dbd04_b.jpg,https://www.flickr.com/photos/74601184@N00/6618334377,flickr,by-nc-sa 2.0,1024,768,jpg
Stellated Tricontahedron: Neural Networking,https://live.staticflickr.com/7070/7025794665_1406cfd0fd_b.jpg,https://www.flickr.com/photos/24888685@N08/7025794665,flickr,by 2.0,1024,685,jpg
Deepdream #5,https://live.staticflickr.com/543/19744350795_973fdd4253.jpg,https://www.flickr.com/photos/12836528@N00/19744350795,flickr,by 2.0,500,334,jpg
Small Stellated Dodecahedron: Neural Networking,https://live.staticflickr.com/7244/6879668102_3dc3aa9824_b.jpg,https://www.flickr.com/photos/24888685@N08/6879668102,flickr,by 2.0,1024,685,jpg
Stellated Tricontahedron: Neural NetworkingStellated Tricontahedron: Neural Networking,https://live.staticflickr.com/6092/6879697474_bd0af21335_b.jpg,https://www.flickr.com/photos/24888685@N08/6879697474,flickr,by 2.0,1024,685,jpg
Deepdream #4,https://live.staticflickr.com/376/19718144746_c291fe56d0.jpg,https://www.flickr.com/photos/12836528@N00/19718144746,flickr,by 2.0,500,334,jpg
Archive Dreaming / Refik Anadol (TR),https://live.staticflickr.com/4335/36302373486_2871309dfb_b.jpg,https://www.flickr.com/photos/36085842@N06/36302373486,flickr,by-nc-nd 2.0,1024,576,jpg
Neural Network Training / Ars Electronica Futurelab,https://live.staticflickr.com/65535/47959568261_44a6873050_b.jpg,https://www.flickr.com/photos/36085842@N06/47959568261,flickr,by-nc-nd 2.0,1024,683,jpg
Weird Tree Art (Neural Network!),https://live.staticflickr.com/3018/2781151983_4fb7b60e00_b.jpg,https://www.flickr.com/photos/10934572@N00/2781151983,flickr,by 2.0,1024,768,jpg
Stellated Tricontahedron: Neural Networking,https://live.staticflickr.com/6228/6879704574_1440a5d8ab_b.jpg,https://www.flickr.com/photos/24888685@N08/6879704574,flickr,by 2.0,1024,685,jpg
