title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
ePython: An implementation of Python for the many-core Epiphany coprocessor,Nick Brown,2020,arXiv,,https://arxiv.org/pdf/2010.14827v1,http://arxiv.org/abs/2010.14827v1,"The Epiphany is a many-core, low power, low on-chip memory architecture and one can very cheaply gain access to a number of parallel cores which is beneficial for HPC education and prototyping. The very low power nature of these architectures also means that there is potential for their use in future HPC machines, however there is a high barrier to entry in programming them due to the associated complexities and immaturity of supporting tools. In this paper we present our work on ePython, a subset of Python for the Epiphany and similar many-core co-processors. Due to the limited on-chip memory per core we have developed a new Python interpreter and this, combined with additional support for parallelism, has meant that novices can take advantage of Python to very quickly write parallel codes on the Epiphany and explore concepts of HPC using a smaller scale parallel machine. The high level nature of Python opens up new possibilities on the Epiphany, we examine a computationally intensive Gauss-Seidel code from the programmability and performance perspective, discuss running Python hybrid on both the host CPU and Epiphany, and interoperability between a full Python interpreter on the CPU and ePython on the Epiphany. The result of this work is support for developing Python on the Epiphany, which can be applied to other similar architectures, that the community have already started to adopt and use to explore concepts of parallelism and HPC.",arxiv,2010.14827v1
Social Network Analysis: From Graph Theory to Applications with Python,Dmitri Goldenberg,2021,arXiv,,https://arxiv.org/pdf/2102.10014v1,http://arxiv.org/abs/2102.10014v1,"Social network analysis is the process of investigating social structures through the use of networks and graph theory. It combines a variety of techniques for analyzing the structure of social networks as well as theories that aim at explaining the underlying dynamics and patterns observed in these structures. It is an inherently interdisciplinary field which originally emerged from the fields of social psychology, statistics and graph theory. This talk will covers the theory of social network analysis, with a short introduction to graph theory and information spread. Then we will deep dive into Python code with NetworkX to get a better understanding of the network components, followed-up by constructing and implying social networks from real Pandas and textual datasets. Finally we will go over code examples of practical use-cases such as visualization with matplotlib, social-centrality analysis and influence maximization for information spread.",arxiv,2102.10014v1
atoMEC: An open-source average-atom Python code,Timothy J. Callow; Daniel Kotik; Eli Kraisler; Attila Cangi,2022,arXiv,,https://arxiv.org/pdf/2206.01074v2,http://arxiv.org/abs/2206.01074v2,"Average-atom models are an important tool in studying matter under extreme conditions, such as those conditions experienced in planetary cores, brown and white dwarfs, and during inertial confinement fusion. In the right context, average-atom models can yield results with similar accuracy to simulations which require orders of magnitude more computing time, and thus can greatly reduce financial and environmental costs. Unfortunately, due to the wide range of possible models and approximations, and the lack of open-source codes, average-atom models can at times appear inaccessible. In this paper, we present our open-source average-atom code, atoMEC. We explain the aims and structure of atoMEC to illuminate the different stages and options in an average-atom calculation, and to facilitate community contributions. We also discuss the use of various open-source Python packages in atoMEC, which have expedited its development.",arxiv,2206.01074v2
Resurfaced 1964 VRT video interview of Georges Lemaître,Satya Gontcho A Gontcho; Jean-Baptiste Kikwaya Eluo; Paul Gabor,2023,arXiv,,https://arxiv.org/pdf/2301.07198v2,http://arxiv.org/abs/2301.07198v2,"On December 31 2022, the Vlaamse Radio- en Televisieomroeporganisatie (VRT), the national public-service broadcaster for the Flemish Community of Belgium, recovered a video recording of a 1964 interview of Georges Lemaître. Up until now, that footage was thought to have been lost. This footage represents a unique insight into the views of the physicist often coined as the ""father of the Big Bang"". The interview was conducted in French and is available online with Flemish subtitles. In an effort to make this treasure broadly available, we provide in this paper some brief context, an English translation of the interview as well as the French transcript for reference.",arxiv,2301.07198v2
Implementation of Kalman Filter with Python Language,Mohamed Laaraiedh,2012,arXiv,,https://arxiv.org/pdf/1204.0375v1,http://arxiv.org/abs/1204.0375v1,"In this paper, we investigate the implementation of a Python code for a Kalman Filter using the Numpy package. A Kalman Filtering is carried out in two steps: Prediction and Update. Each step is investigated and coded as a function with matrix input and output. These different functions are explained and an example of a Kalman Filter application for the localization of mobile in wireless networks is given.",arxiv,1204.0375v1
Physics and Derivatives -- Interview Questions and Answers,Alexander Lipton,2020,arXiv,,https://arxiv.org/pdf/2003.11471v1,http://arxiv.org/abs/2003.11471v1,Answers to interview questions sent to a selected group of former physicists working in finance. The interview will be published as part of a Special Issue on Physics and Derivatives by The Journal of Derivatives in the second half of 2020.,arxiv,2003.11471v1
Python for education: permutations,Andrzej Kapanowski,2013,arXiv,,https://arxiv.org/pdf/1307.7042v1,http://arxiv.org/abs/1307.7042v1,"Python implementation of permutations is presented. Three classes are introduced: Perm for permutations, Group for permutation groups, and PermError to report any errors for both classes. The class Perm is based on Python dictionaries and utilize cycle notation. The methods of calculation for the perm order, parity, ranking and unranking are given. A random permutation generation is also shown. The class Group is very simple and it is also based on dictionaries. It is mainly the presentation of the permutation groups interface with methods for the group order, subgroups (normalizer, centralizer, center, stabilizer), orbits, and several tests. The corresponding Python code is contained in the modules perms and groups.",arxiv,1307.7042v1
Weighted graph algorithms with Python,A. Kapanowski; Ł. Gałuszka,2015,arXiv,,https://arxiv.org/pdf/1504.07828v1,http://arxiv.org/abs/1504.07828v1,"Python implementation of selected weighted graph algorithms is presented. The minimal graph interface is defined together with several classes implementing this interface. Graph nodes can be any hashable Python objects. Directed edges are instances of the Edge class. Graphs are instances of the Graph class. It is based on the adjacency-list representation, but with fast lookup of nodes and neighbors (dict-of-dict structure). Other implementations of this class are also possible. In this work, many algorithms are implemented using a unified approach. There are separate classes and modules devoted to different algorithms. Three algorithms for finding a minimum spanning tree are implemented: the Boruvka's algorithm, the Prim's algorithm (three implementations), and the Kruskal's algorithm. Three algorithms for solving the single-source shortest path problem are implemented: the dag shortest path algorithm, the Bellman-Ford algorithm, and the Dijkstra's algorithm (two implementations). Two algorithms for solving all-pairs shortest path problem are implemented: the Floyd-Warshall algorithm and the Johnson's algorithm. All algorithms were tested by means of the unittest module, the Python unit testing framework. Additional computer experiments were done in order to compare real and theoretical computational complexity. The source code is available from the public GitHub repository.",arxiv,1504.07828v1
Machine Learning using Stata/Python,Giovanni Cerulli,2021,arXiv,,https://arxiv.org/pdf/2103.03122v1,http://arxiv.org/abs/2103.03122v1,"We present two related Stata modules, r_ml_stata and c_ml_stata, for fitting popular Machine Learning (ML) methods both in regression and classification settings. Using the recent Stata/Python integration platform (sfi) of Stata 16, these commands provide hyper-parameters' optimal tuning via K-fold cross-validation using greed search. More specifically, they make use of the Python Scikit-learn API to carry out both cross-validation and outcome/label prediction.",arxiv,2103.03122v1
Python for education: the exact cover problem,Andrzej Kapanowski,2010,arXiv,,https://arxiv.org/pdf/1010.5890v1,http://arxiv.org/abs/1010.5890v1,"Python implementation of Algorithm X by Knuth is presented. Algorithm X finds all solutions to the exact cover problem. The exemplary results for pentominoes, Latin squares and Sudoku are given.",arxiv,1010.5890v1
