email,domain,note
hr@google.com,google.com,common HR pattern — verify via company site
careers@google.com,google.com,common HR pattern — verify via company site
jobs@google.com,google.com,common HR pattern — verify via company site
recruiting@google.com,google.com,common HR pattern — verify via company site
recruitment@google.com,google.com,common HR pattern — verify via company site
talent@google.com,google.com,common HR pattern — verify via company site
hiring@google.com,google.com,common HR pattern — verify via company site
people@google.com,google.com,common HR pattern — verify via company site
jobs-apply@google.com,google.com,common HR pattern — verify via company site
hr-team@google.com,google.com,common HR pattern — verify via company site
talent-acquisition@google.com,google.com,common HR pattern — verify via company site
recruiter@google.com,google.com,common HR pattern — verify via company site
