#,question,company,source
1,"And you'd get to work at a place called the Googleplex, where roaming goats mow the lawn. How cool is that?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
2,"### What is one of your favorite Google products, and how would you improve it?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
3,### Why do you want to work for Google?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
4,### How would you explain how this Google product works to a four year old?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
5,"### Have you ever taken a big risk, professionally, and failed? What made you take the risk, and what did you learn from it?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
6,"If I open your browser history, what will I learn about your personality?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
7,Tell me about a time in which you had to navigate ambiguity.,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
8,Tell me what you are most passionate about outside work.,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
9,"Tell me a time when you had to ""sell"" or propose a solution to an Engineering or Stakeholder Team.",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
10,How many golf balls can fit in a school bus?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
11,"Out of learning and earning, what do you prefer most?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
12,"Share your previous experience of working in an unstructured environment, and how did you manage your work or team?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
13,How would you present ideas that require you to get your team's buy-in. How would you modify your behavior to influence your team members' opinions?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
14,What was the most valuable feedback you received? Feedback you gave?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
15,Describe a situation where you had challenged the status quo in regards to a particular project or initiative you were a part of.,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
16,What is multi-threaded programming?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
17,How do you think digital marketing will change in the next five years?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
18,How do cookies pass along in HTTP protocol?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
19,Design a mobile social app for a chain of local orthodontist offices.,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
20,Tell us what you know about Google's history?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
21,"Do you think Google should be charging for its productivity apps (Google Docs, Google Sheets, etc.)? Why or why not?",google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
22,What steps would you take to enhance YouTube's business model?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
23,Why do you think that the Google search page is mainly blank?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
24,How do you measure success in this position?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
25,How will this role help Google address it's biggest challenges?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
26,What is your favorite thing about working here at Google?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
27,What has surprised you the most about working for Google?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
28,What is the team currently working on?,google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
29,[The Top 23 Amazon Interview Questions](https://topinterview.com/interview-advice/amazon-interview-questions-and-answers),google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
30,[How COVID-19 Has Changed the Interview](https://topinterview.com/interview-advice/changes-to-the-interview),google,https://topinterview.com/interview-advice/google-interview-questions-and-answers
