title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
Rust: The Programming Language for Safety and Performance,William Bugden; Ayman Alahmar,2022,arXiv,,https://arxiv.org/pdf/2206.05503v1,http://arxiv.org/abs/2206.05503v1,"Rust is a young programming language gaining increased attention from software developers since it was introduced to the world by Mozilla in 2010. In this study, we attempt to answer several research questions. Does Rust deserve such increased attention? What is there in Rust that is attracting programmers to this new language? Safety and performance were among the very first promises of Rust, as was claimed by its early developers. Is Rust a safe language with high performance? Have these claims been achieved? To answer these questions, we surveyed and analyzed recent research on Rust and research that benchmarks Rust with other available prominent programming languages. The results show that Rust deserves the increased interest by programmers, and recent experimental results in benchmarking research show Rust's overall superiority over other well-established languages in terms of performance, safety, and security. Even though this study was not comprehensive (and more work must be done in this area), it informs the programming and research communities on the promising features of Rust as the language of choice for the future.",arxiv,2206.05503v1
CrossTL: A Universal Programming Language Translator with Unified Intermediate Representation,Nripesh Niketan; Vaatsalya Shrivastva,2025,arXiv,,https://arxiv.org/pdf/2508.21256v1,http://arxiv.org/abs/2508.21256v1,"We present CrossTL, a universal programming language translator enabling bidirectional translation between multiple languages through a unified intermediate representation called CrossGL. Traditional approaches require separate translators for each language pair, leading to exponential complexity growth. CrossTL uses a single universal IR to facilitate translations between CUDA, HIP, Metal, DirectX HLSL, OpenGL GLSL, Vulkan SPIR-V, Rust, and Mojo, with Slang support in development. Our system consists of: language-specific lexers/parsers converting source code to ASTs, bidirectional CrossGL translation modules implementing ToCrossGLConverter classes for importing code and CodeGen classes for target generation, and comprehensive backend implementations handling full translation pipelines. We demonstrate effectiveness through comprehensive evaluation across programming domains, achieving successful compilation and execution across all supported backends. The universal IR design enables adding new languages with minimal effort, requiring only language-specific frontend/backend components. Our contributions include: (1) a unified IR capturing semantics of multiple programming paradigms, (2) a modular architecture enabling extensibility, (3) a comprehensive framework supporting GPU compute, graphics programming, and systems languages, and (4) empirical validation demonstrating practical viability of universal code translation. CrossTL represents a significant step toward language-",arxiv,2508.21256v1
Rust for Secure Backend Development: A Critical Review and Extended Vulnerability Comparison with Node.js and Django,Md Zarzees Uddin Shah Chowdhury; Rabib Jahin Ibn Momin; Rifat Shahriyar,2026,arXiv,,https://arxiv.org/pdf/2608.22624v1,http://arxiv.org/abs/2608.22624v1,"The Rust programming language is widely credited with eliminating entire classes of memory-safety and concurrency vulnerabilities, but the security implications of adopting it in practice extend well beyond memory safety. This paper presents a critical review of prior work on Rust's security posture in industrial settings, and extends that analysis in a direction the original study did not cover: backend web development. We first assess the strengths and limitations of the existing vulnerability classification of Rust against C, C++, and Java under the SANS Top 25, OWASP Top 10, and the 19 Deadly Sins of Software Security frameworks, identifying gaps including limited empirical validation, a small interview sample, and the absence of a secure development lifecycle discussion. We then contribute an original comparison of Rust against Node.js and Django using the same three-level classification (Rare and Difficult, Safeguarded, Unprotected), supported by side-by-side code experiments for out-of-bounds writes (CWE-787), use-after-free (CWE-416), and race conditions (CWE-362). Our results indicate that Rust's compile-time guarantees dominate at the systems layer, while managed backend frameworks offer stronger built-in defenses at the application layer, suggesting that Rust adoption in web contexts requires complementary safeguards rather than reliance on language-level safety alone.",arxiv,2608.22624v1
RustCompCert: A Verified and Verifying Compiler for a Sequential Subset of Rust,Jinhua Wu; Yuting Wang; Liukun Yu; Linglong Meng,2026,arXiv,,https://arxiv.org/pdf/2602.07455v1,http://arxiv.org/abs/2602.07455v1,"We present our ongoing work on developing an end-to-end verified Rust compiler based on CompCert. It provides two guarantees: one is semantics preservation from Rust to assembly, i.e., the behaviors of source code includes the behaviors of target code, with which the properties verified at the source can be preserved down to the target; the other is memory safety ensured by the verifying compilation -- the borrow checking pass, which can simplify the verification of Rust programs, e.g., by allowing the verification tools focus on the functional correctness.",arxiv,2602.07455v1
A novel datatype architecture support for programming languages,Mehran Alidoost Nia; Reza Ebrahimi Atani,2014,arXiv,,https://arxiv.org/pdf/1402.0087v1,http://arxiv.org/abs/1402.0087v1,"In programmers point of view, Datatypes in programming language level have a simple description but inside hardware, huge machine codes are responsible to describe type features. Datatype architecture design is a novel approach to match programming features along with hardware design. In this paper a novel Data type-Based Code Reducer (TYPELINE) architecture is proposed and implemented according to significant data types (SDT) of programming languages. TYPELINE uses TEUs for processing various SDT operations. This architecture design leads to reducing the number of machine codes, and increases execution speed, and also improves some parallelism level. This is because this architecture supports some operation for the execution of Abstract Data Types in parallel. Also it ensures to maintain data type features and entire application level specifications using the proposed type conversion unit. This framework includes compiler level identifying execution modes and memory management unit for decreasing object read/write in heap memory by ISA support. This energy-efficient architecture is completely compatible with object oriented programming languages and in combination mode it can process complex C++ data structures with respect to parallel TYPELINE architecture support.",arxiv,1402.0087v1
Soft Contract Verification for Higher-Order Stateful Programs,Phuc C. Nguyen; Thomas Gilray; Sam Tobin-Hochstadt; David Van Horn,2017,arXiv,,https://arxiv.org/pdf/1711.03620v1,http://arxiv.org/abs/1711.03620v1,"Software contracts allow programmers to state rich program properties using the full expressive power of an object language. However, since they are enforced at runtime, monitoring contracts imposes significant overhead and delays error discovery. So contract verification aims to guarantee all or most of these properties ahead of time, enabling valuable optimizations and yielding a more general assurance of correctness. Existing methods for static contract verification satisfy the needs of more restricted target languages, but fail to address the challenges unique to those conjoining untyped, dynamic programming, higher-order functions, modularity, and statefulness. Our approach tackles all these features at once, in the context of the full Racket system---a mature environment for stateful, higher-order, multi-paradigm programming with or without types. Evaluating our method using a set of both pure and stateful benchmarks, we are able to verify 99.94% of checks statically (all but 28 of 49, 861). Stateful, higher-order functions pose significant challenges for static contract verification in particular. In the presence of these features, a modular analysis must permit code from the current module to escape permanently to an opaque context (unspecified code from outside the current module) that may be stateful and therefore store a reference to the escaped closure. Also, contracts themselves, being predicates wri en in unrestricted Racket, may exhibit stateful behavior; a sou",arxiv,1711.03620v1
Horn Clauses as an Intermediate Representation for Program Analysis and Transformation,Graeme Gange; Jorge A. Navas; Peter Schachte; Harald Sondergaard; Peter J. Stuckey,2015,arXiv,,https://arxiv.org/pdf/1507.05762v1,http://arxiv.org/abs/1507.05762v1,"Many recent analyses for conventional imperative programs begin by transforming programs into logic programs, capitalising on existing LP analyses and simple LP semantics. We propose using logic programs as an intermediate program representation throughout the compilation process. With restrictions ensuring determinism and single-modedness, a logic program can easily be transformed to machine language or other low-level language, while maintaining the simple semantics that makes it suitable as a language for program analysis and transformation. We present a simple LP language that enforces determinism and single-modedness, and show that it makes a convenient program representation for analysis and transformation.",arxiv,1507.05762v1
An ER-based Framework for Declarative Web Programming,Michael Hanus; Sven Koschnicke,2011,arXiv,,https://arxiv.org/pdf/1103.4133v2,http://arxiv.org/abs/1103.4133v2,"We describe a framework to support the implementation of web-based systems intended to manipulate data stored in relational databases. Since the conceptual model of a relational database is often specified as an entity-relationship (ER) model, we propose to use the ER model to generate a complete implementation in the declarative programming language Curry. This implementation contains operations to create and manipulate entities of the data model, supports authentication, authorization, session handling, and the composition of individual operations to user processes. Furthermore, the implementation ensures the consistency of the database w.r.t. the data dependencies specified in the ER model, i.e., updates initiated by the user cannot lead to an inconsistent state of the database. In order to generate a high-level declarative implementation that can be easily adapted to individual customer requirements, the framework exploits previous works on declarative database programming and web user interface construction in Curry.",arxiv,1103.4133v2
RustBelt: securing the foundations of the Rust programming language,Ralf Jung; Jacques-Henri Jourdan; Robbert Krebbers; Derek Dreyer,2017,Proceedings of the ACM on Programming Languages,https://doi.org/10.1145/3158154,https://dl.acm.org/doi/pdf/10.1145/3158154?download=true,https://doi.org/https://doi.org/10.1145/3158154,,openalex,https://openalex.org/W2779850521
Array programming with NumPy,Charles R. Harris; K. Jarrod Millman; Stéfan J. van der Walt; Ralf Gommers; Pauli Virtanen; David Cournapeau; Eric Wieser; Julian Taylor; Sebastian Berg; Nathaniel J. Smith; Robert Kern; Matti Picus; Stephan Hoyer; Marten H. van Kerkwijk; Matthew Brett; Allan Haldane; Jaime Fernández del Río; Mark Wiebe; Pearu Peterson; Pierre Gérard-Marchant; Kevin Sheppard; Tyler Reddy; Warren Weckesser; Hameer Abbasi; Christoph Gohlke; Travis E. Oliphant,2020,Nature,https://doi.org/10.1038/s41586-020-2649-2,https://www.nature.com/articles/s41586-020-2649-2.pdf,https://doi.org/https://doi.org/10.1038/s41586-020-2649-2,,openalex,https://openalex.org/W3035965352
