title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
ChatHome: Development and Evaluation of a Domain-Specific Language Model for Home Renovation,Cheng Wen; Xianghui Sun; Shuaijiang Zhao; Xiaoquan Fang; Liangyu Chen; Wei Zou,2023,arXiv,,https://arxiv.org/pdf/2307.15290v1,http://arxiv.org/abs/2307.15290v1,"This paper presents the development and evaluation of ChatHome, a domain-specific language model (DSLM) designed for the intricate field of home renovation. Considering the proven competencies of large language models (LLMs) like GPT-4 and the escalating fascination with home renovation, this study endeavors to reconcile these aspects by generating a dedicated model that can yield high-fidelity, precise outputs relevant to the home renovation arena. ChatHome's novelty rests on its methodology, fusing domain-adaptive pretraining and instruction-tuning over an extensive dataset. This dataset includes professional articles, standard documents, and web content pertinent to home renovation. This dual-pronged strategy is designed to ensure that our model can assimilate comprehensive domain knowledge and effectively address user inquiries. Via thorough experimentation on diverse datasets, both universal and domain-specific, including the freshly introduced ""EvalHome"" domain dataset, we substantiate that ChatHome not only amplifies domain-specific functionalities but also preserves its versatility.",arxiv,2307.15290v1
A Scenario-Based Mobile Application for Robot-Assisted Smart Digital Homes,Ali Reza Manashty; Amir Rajabzadeh; Zahra Forootan Jahromi,2010,arXiv,,https://arxiv.org/pdf/1009.5398v1,http://arxiv.org/abs/1009.5398v1,"Smart homes are becoming more popular, as every day a new home appliance can be digitally controlled. Smart Digital Homes are using a server to make interaction with all the possible devices in one place, on a computer or webpage. In this paper we designed and implemented a mobile application using Windows Mobile platform that can connect to the controlling server of a Smart Home and grants the access to the Smart Home devices and robots everywhere possible. UML diagrams are presented to illustrate the application design process. Robots are also considered as devices that are able to interact to other object and devices. Scenarios are defined as a set of sequential actions to help manage different tasks all in one place. The mobile application can connect to the server using GPRS mobile internet and Short Message System (SMS). Interactive home map is also designed for easier status-checking and interacting with the devices using the mobile phones.",arxiv,1009.5398v1
IFC models for (semi)automating common planning checks for building permits,Francesca Noardo; Teng Wu; Ken Arroyo Ohori; Thomas Krijnen; Jantien Stoter,2020,arXiv,,https://arxiv.org/pdf/2011.03117v3,http://arxiv.org/abs/2011.03117v3,"To support building permit issuing with automatic digital tools, the reuse of models produced by designers would make the process quicker and more objective. However, current studies and pilots often leave a gap with respect to the models as actually provided by architects, having varying quality and content. In this study, rather than taking a top down approach, we started from the available data and made the necessary inferences, which gave the opportunity to tackle basic and common issues often preventing smooth automatic processing. Specific characteristics of the IFC models were outlined and a tool was developed to extract the necessary information from them to check representative regulations. While the case study is specific in location, regulations and input models, the type of issues encountered are a generally applicable example for automated code compliance checking. This represents a solid base for future works towards the automation of building permits issuing.",arxiv,2011.03117v3
Helion: Enabling a Natural Perspective of Home Automation,Sunil Manandhar; Kevin Moran; Kaushal Kafle; Ruhao Tang; Denys Poshyvanyk; Adwait Nadkarni,2019,arXiv,,https://arxiv.org/pdf/1907.00124v1,http://arxiv.org/abs/1907.00124v1,"Security researchers have recently discovered significant security and safety issues related to home automation and developed approaches to address them. Such approaches often face design and evaluation challenges which arise from their restricted perspective of home automation that is bounded by the IoT apps they analyze. The challenges of past work can be overcome by relying on a deeper understanding of realistic home automation usage. More specifically, the availability of natural home automation scenarios, i.e., sequences of home automation events that may realistically occur in an end-user's home, could help security researchers design better security/safety systems. This paper presents Helion, a framework for building a natural perspective of home automation. Helion identifies the regularities in user-driven home automation, i.e., from user-driven routines that are increasingly being created by users through intuitive platform UIs. Our intuition for designing Helion is that smart home event sequences created by users exhibit an inherent set of semantic patterns, or naturalness that can be modeled and used to generate valid and useful scenarios. To evaluate our approach, we first empirically demonstrate that this naturalness hypothesis holds, with a corpus of 30,518 home automation events, constructed from 273 routines collected from 40 users. We then demonstrate that the scenarios generated by Helion are reasonable and valid from an end-user perspective, through an eval",arxiv,1907.00124v1
Smart GSM Based Home Automation System,Rozita Teymourzadeh; Salah Addin Ahmed; Kok Wai Chan; Mok Vee Hoong,2018,arXiv,,https://arxiv.org/pdf/1806.03715v1,http://arxiv.org/abs/1806.03715v1,"This research work investigates the potential of Full Home Control, which is the aim of the Home Automation Systems in near future. The analysis and implementation of the home automation technology using Global System for Mobile Communication (GSM) modem to control home appliances such as light, conditional system, and security system via Short Message Service (SMS) text messages is presented in this paper. The proposed research work is focused on the functionality of the GSM protocol, which allows the user to control the target system away from residential using the frequency bandwidths. The concept of serial communication and AT-commands has been applied towards the development of the smart GSM-based home automation system. Homeowners will be able to receive feedback status of any home appliances under control whether switched on or off remotely from their mobile phones. PIC16F887 microcontroller with the integration of GSM provides the smart automated house system with the desired baud rate of 9600 bps. The proposed prototype of GSM based home automation system was implemented and tested with a maximum of four loads and shows the accuracy of greater or equal 98%.",arxiv,1806.03715v1
HAUAR: Home Automation Using Action Recognition,Shashank Kotyan; Nishant Kumar; Pankaj Kumar Sahu; Venkanna Udutalapally,2019,arXiv,,https://arxiv.org/pdf/1904.10354v2,http://arxiv.org/abs/1904.10354v2,"Today, many of the home automation systems deployed are mostly controlled by humans. This control by humans restricts the automation of home appliances to an extent. Also, most of the deployed home automation systems use the Internet of Things technology to control the appliances. In this paper, we propose a system developed using action recognition to fully automate the home appliances. We recognize the three actions of a person (sitting, standing and lying) along with the recognition of an empty room. The accuracy of the system was 90% in the real-life test experiments. With this system, we remove the human intervention in home automation systems for controlling the home appliances and at the same time we ensure the data privacy and reduce the energy consumption by efficiently and optimally using home appliances.",arxiv,1904.10354v2
Home Automation,Zeeshan Ahmed,2010,arXiv,,https://arxiv.org/pdf/1009.2000v1,http://arxiv.org/abs/1009.2000v1,"In this paper I briefly discuss the importance of home automation system. Going in to the details I briefly present a real time designed and implemented software and hardware oriented house automation research project, capable of automating house's electricity and providing a security system to detect the presence of unexpected behavior.",arxiv,1009.2000v1
Collaborative Dynamic 3D Scene Graphs for Automated Driving,Elias Greve; Martin Büchner; Niclas Vödisch; Wolfram Burgard; Abhinav Valada,2023,arXiv,,https://arxiv.org/pdf/2309.06635v3,http://arxiv.org/abs/2309.06635v3,"Maps have played an indispensable role in enabling safe and automated driving. Although there have been many advances on different fronts ranging from SLAM to semantics, building an actionable hierarchical semantic representation of urban dynamic scenes and processing information from multiple agents are still challenging problems. In this work, we present Collaborative URBan Scene Graphs (CURB-SG) that enable higher-order reasoning and efficient querying for many functions of automated driving. CURB-SG leverages panoptic LiDAR data from multiple agents to build large-scale maps using an effective graph-based collaborative SLAM approach that detects inter-agent loop closures. To semantically decompose the obtained 3D map, we build a lane graph from the paths of ego agents and their panoptic observations of other vehicles. Based on the connectivity of the lane graph, we segregate the environment into intersecting and non-intersecting road areas. Subsequently, we construct a multi-layered scene graph that includes lane information, the position of static landmarks and their assignment to certain map sections, other vehicles observed by the ego agents, and the pose graph from SLAM including 3D panoptic point clouds. We extensively evaluate CURB-SG in urban scenarios using a photorealistic simulator. We release our code at http://curb.cs.uni-freiburg.de.",arxiv,2309.06635v3
A Survey of Reinforcement Learning for Optimization in Automation,Ahmad Farooq; Kamran Iqbal,2025,arXiv,,https://arxiv.org/pdf/2502.09417v1,http://arxiv.org/abs/2502.09417v1,"Reinforcement Learning (RL) has become a critical tool for optimization challenges within automation, leading to significant advancements in several areas. This review article examines the current landscape of RL within automation, with a particular focus on its roles in manufacturing, energy systems, and robotics. It discusses state-of-the-art methods, major challenges, and upcoming avenues of research within each sector, highlighting RL's capacity to solve intricate optimization challenges. The paper reviews the advantages and constraints of RL-driven optimization methods in automation. It points out prevalent challenges encountered in RL optimization, including issues related to sample efficiency and scalability; safety and robustness; interpretability and trustworthiness; transfer learning and meta-learning; and real-world deployment and integration. It further explores prospective strategies and future research pathways to navigate these challenges. Additionally, the survey includes a comprehensive list of relevant research papers, making it an indispensable guide for scholars and practitioners keen on exploring this domain.",arxiv,2502.09417v1
A Comprehensive Review on the Advancement of Home Automation System,Md. Rawshan Habib; Md Abu Yusuf; W. M. H Nimsara Warnasuriya; Kumar Sunny; Mohammed Mahbubur Rahaman; Md Rezaul Karim Khan; Partha Pratim Saha; Mohammad Tanzimul Alam,2024,arXiv,,https://arxiv.org/pdf/2411.10472v1,http://arxiv.org/abs/2411.10472v1,"In light of its many benefits, home automation systems are one of the subjects that are becoming ever more prevalent. The term ""home automation"" describes the remote monitoring and management of household equipment. The Internet and its usages are constantly expanding, which means there is a lot of room for remote access, management, and surveillance of these network-enabled systems. Nowadays, scientists and researchers are developing cutting-edge prototypes of home automation system which includes smart lighting system, smart kitchen, smart fire protection devices, smart lawn mower, smart health monitor system and so on. Each automated system's primary objective is its ability to reduce human labor, effort, time, and mistakes brought on by carelessness. The objective of this study is to provide in-depth evaluation of the newly developed home automation system. Moreover, state-of-the-art home automation topologies such as ZigBee, Z-wave, Wi-Fi and Bluetooth are also discussed here. The authors are optimistic that this study would have a major impact on the present advances in home automation technology.",arxiv,2411.10472v1
