title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
mach: ultrafast ultrasound beamforming,Charles Guan; Alexander P. Rockhill; Masashi Sode; Gianmarco Pinton,2026,arXiv,,https://arxiv.org/pdf/2604.06257v1,http://arxiv.org/abs/2604.06257v1,"Purpose: Volumetric ultrafast ultrasound produces massive datasets with high frame rates, dense reconstruction grids, and large channel counts. Beamforming computational demands limit research throughput and prevent real-time applications in emerging modalities such as elastography, functional neuroimaging, and microscopy. Approach: We developed mach, an open-source, GPU-accelerated beamformer with a highly optimized delay-and-sum CUDA kernel and an accessible Python interface. mach uses a hybrid delay computation strategy that substantially reduces memory overhead compared to fully precomputed approaches. The CUDA implementation optimizes memory layout for coalesced access and reuses delay computations across frames via shared memory. We benchmarked mach on the PyMUST rotating disk dataset and validated numerical accuracy against existing open-source beamformers. Results: mach processes 1.1 trillion points per second on a consumer-grade GPU, achieving $&gt;$10$\times$ faster performance than existing open-source GPU beamformers. On the PyMUST rotating disk benchmark, mach completes reconstruction in 0.23~ms, 6$\times$ faster than the acoustic round-trip time to the imaging depth. Validation against other beamformers confirms numerical accuracy with errors below $-60$~dB for Power Doppler and $-120$~dB for B-mode. Conclusions: mach achieves 1.1 trillion points per second throughput, enabling real-time 3D ultrafast ultrasound reconstruction for the first time on consumer-grade",arxiv,2604.06257v1
A proposal to systematize introducing DevOps into the software development process,Luciano de Aguiar Monteiro,2021,arXiv,,https://arxiv.org/pdf/2104.07585v1,http://arxiv.org/abs/2104.07585v1,"The software development industry has been evolving with new development standards and service delivery models. Agile methodologies have reached their completion with DevOps, thereby increasing the quality of the software and creating greater speed in delivery. However, a gap regarding the formalization of its adoption and implementation doubts became relevant. My hypothesis is that, by systematizing the introduction of DevOps into the software development process and defining the function of the members of the DevOps team members, may well make it quicker to implement this process, thus reducing conflicts between the teams. As part of the investigation of this hypothesis, the result of the research will be applied in practical development environments i.e. in a Technology Agency of the State of the Brazilian Government and also at the Brazilian Company Neurotech in order to evaluate its effectiveness from metrics appropriate for DevOps environments.",arxiv,2104.07585v1
Teegi: Tangible EEG Interface,Jérémy Frey; Renaud Gervais; Stéphanie Fleck; Fabien Lotte; Martin Hachet,2014,arXiv,,https://arxiv.org/pdf/1412.1790v1,http://arxiv.org/abs/1412.1790v1,"We introduce Teegi, a Tangible ElectroEncephaloGraphy (EEG) Interface that enables novice users to get to know more about something as complex as brain signals, in an easy, en- gaging and informative way. To this end, we have designed a new system based on a unique combination of spatial aug- mented reality, tangible interaction and real-time neurotech- nologies. With Teegi, a user can visualize and analyze his or her own brain activity in real-time, on a tangible character that can be easily manipulated, and with which it is possible to interact. An exploration study has shown that interacting with Teegi seems to be easy, motivating, reliable and infor- mative. Overall, this suggests that Teegi is a promising and relevant training and mediation tool for the general public.",arxiv,1412.1790v1
"Neurotech for Neuroscience: Unifying Concepts, Organizing Principles, and Emerging Tools",Rae Silver; Kwabena Boahen; Sten Grillner; Nancy Kopell; Kathie L. Olsen,2007,Journal of Neuroscience,https://doi.org/10.1523/jneurosci.3575-07.2007,https://www.jneurosci.org/content/jneuro/27/44/11807.full.pdf,https://doi.org/https://doi.org/10.1523/jneurosci.3575-07.2007,,openalex,https://openalex.org/W1964659356
"The Metaverse as a Virtual Model of Platform Urbanism: Its Converging AIoT, XReality, Neurotech, and Nanobiotech and Their Applications, Challenges, and Risks",Simon Elias Bibri,2023,Smart Cities,https://doi.org/10.3390/smartcities6030065,https://www.mdpi.com/2624-6511/6/3/65/pdf?version=1683778544,https://doi.org/https://doi.org/10.3390/smartcities6030065,,openalex,https://openalex.org/W4376137186
Stereoelectroencephalography based on the Leksell stereotactic frame and Neurotech operation planning software,Guangming Zhang; Guoqiang Chen; Dawei Meng; Yanwu Liu; Jianwei Chen; Lanmei Shu; Wenbo Liu,2017,Medicine,https://doi.org/10.1097/md.0000000000007106,https://doi.org/10.1097/md.0000000000007106,https://doi.org/https://doi.org/10.1097/md.0000000000007106,,openalex,https://openalex.org/W2624405674
"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation",Sophia Knopf; Nina Frahm; Sebastian Pfotenhauer,2023,Science and Engineering Ethics,https://doi.org/10.1007/s11948-022-00421-1,https://link.springer.com/content/pdf/10.1007/s11948-022-00421-1.pdf,https://doi.org/https://doi.org/10.1007/s11948-022-00421-1,,openalex,https://openalex.org/W4318915174
A Moratorium on Implantable Non-Medical Neurotech Until Effects on the Mind are Properly Understood,Christoph Bublitz; Jennifer A. Chandler; Fruzsina Molnár-Gábor; Marta Sosa Navarro; Philipp Kellmeyer; Surjo R. Soekadar,2025,Neuroethics,https://doi.org/10.1007/s12152-025-09612-6,https://link.springer.com/content/pdf/10.1007/s12152-025-09612-6.pdf,https://doi.org/https://doi.org/10.1007/s12152-025-09612-6,,openalex,https://openalex.org/W4415134105
Editorial: From assessment to intervention: role of consumer technology and neurotech in preventive mental health,Aamir Saeed Malik; Muhammad Hussain; Safee Ullah Chaudhary,2024,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2024.1372708,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1372708/pdf,https://doi.org/https://doi.org/10.3389/fpsyg.2024.1372708,,openalex,https://openalex.org/W4392001844
Standard Operating Protocol: Implantation of Cambrige NeuroTech chronic silicon probe and mini-amp-64 digital headstage in mice,Thomas Jacobs; Henry Darch; Tahl Holtzman; Chris I. De Zeeuw; Vincenzo Romano,2023,Research Square,https://doi.org/10.21203/rs.3.pex-2188/v2,https://doi.org/10.21203/rs.3.pex-2188/v2,https://doi.org/https://doi.org/10.21203/rs.3.pex-2188/v2,,openalex,https://openalex.org/W4361007074
Mobilizing the private sector for responsible innovation in neurotechnology,Sebastian Pfotenhauer; Nina Frahm; David E. Winickoff; David Benrimoh; Judy Illes; Gary E. Marchant,2021,Nature Biotechnology,https://doi.org/10.1038/s41587-021-00947-y,https://www.nature.com/articles/s41587-021-00947-y.pdf,https://doi.org/https://doi.org/10.1038/s41587-021-00947-y,,openalex,https://openalex.org/W3170551137
JMIR Neurotechnology: Connecting Clinical Neuroscience and (Information) Technology,Pieter Kubben,2022,JMIR Neurotechnology,10.2196/41122,https://neuro.jmir.org/2022/1/e41122/PDF,https://doi.org/10.2196/41122,,crossref,10.2196/41122
From mistrust to confidence: How NeuroTech improves privacy for mistrusted digital environments in a formerly incarcerated population,Eric Durnell; Ryan T. Howell; Karynna Okabe‐Miyamoto; Martin Zizi,2025,Computers in Human Behavior,10.1016/j.chb.2025.108794,https://doi.org/10.1016/j.chb.2025.108794,https://www.semanticscholar.org/paper/86d824f454ef1dcb9701fdc7fb05d7d5a622ca1d,,s2,10.1016/j.chb.2025.108794
