timestamp,name,decision,spoof_score,match_distance
2026-09-04T15:01:11,Unknown,DENIED,1.00,0.777
2026-09-04T15:01:13,Unknown,DENIED,1.00,0.804
2026-09-04T15:01:15,Unknown,DENIED,1.00,0.805
2026-09-04T15:01:17,Unknown,DENIED,1.00,0.787
2026-09-04T15:01:19,Unknown,DENIED,1.00,0.813
2026-09-04T15:01:20,Antriksh,GRANTED,1.00,0.192
2026-09-04T15:01:22,Unknown,DENIED,1.00,0.680
2026-09-04T15:01:24,Unknown,DENIED,1.00,0.787
2026-09-04T15:01:26,Antriksh,GRANTED,1.00,0.260
2026-09-04T15:01:26,Unknown,DENIED,0.77,0.487
2026-09-04T15:01:28,Unknown,DENIED,1.00,0.726
2026-09-04T15:01:30,Unknown,DENIED,1.00,0.725
2026-09-04T15:01:32,Unknown,DENIED,1.00,0.807
2026-09-04T15:01:34,Unknown,DENIED,1.00,0.670
2026-09-04T15:01:37,Unknown,DENIED,1.00,0.737
2026-09-04T15:01:39,Unknown,DENIED,1.00,0.720
2026-09-04T15:01:41,Unknown,DENIED,1.00,0.483
2026-09-04T15:01:41,Antriksh,GRANTED,1.00,0.278
2026-09-04T15:01:43,Unknown,DENIED,0.99,0.378
2026-09-04T15:01:45,Unknown,DENIED,1.00,0.717
2026-09-04T15:01:47,Unknown,DENIED,1.00,0.710
2026-09-04T15:01:49,Unknown,DENIED,1.00,0.702
2026-09-04T15:01:51,Unknown,DENIED,1.00,0.725
2026-09-04T15:01:53,Unknown,DENIED,1.00,0.693
2026-09-04T15:01:55,Unknown,DENIED,1.00,0.689
2026-09-04T15:01:57,Unknown,DENIED,1.00,0.688
2026-09-04T15:01:59,Unknown,DENIED,1.00,0.722
2026-09-04T15:02:01,Unknown,DENIED,0.99,0.745
2026-09-04T15:02:03,SpoofAttempt,DENIED,0.00,0.000
2026-09-04T15:02:05,SpoofAttempt,DENIED,0.00,0.000
2026-09-04T15:02:07,Unknown,DENIED,1.00,0.800
2026-09-04T15:02:09,Unknown,DENIED,1.00,0.730
2026-09-04T15:02:11,Unknown,DENIED,1.00,0.798
2026-09-04T15:02:13,Unknown,DENIED,0.95,0.772
2026-09-04T15:02:15,Unknown,DENIED,0.98,0.743
2026-09-04T15:02:17,Unknown,DENIED,0.99,0.716
2026-09-04T15:02:19,Unknown,DENIED,1.00,0.625
2026-09-04T15:02:21,Unknown,DENIED,1.00,0.682
2026-09-04T15:02:23,Unknown,DENIED,0.98,0.716
2026-09-04T15:02:25,Unknown,DENIED,1.00,0.719
2026-09-04T15:02:28,Unknown,DENIED,1.00,0.697
2026-09-04T15:02:30,Unknown,DENIED,1.00,0.729
2026-09-04T15:02:32,Unknown,DENIED,1.00,0.709
2026-09-04T15:02:34,Unknown,DENIED,1.00,0.686
2026-09-04T15:02:36,Unknown,DENIED,1.00,0.671
2026-09-04T15:02:38,Unknown,DENIED,1.00,0.655
2026-09-04T15:02:40,Unknown,DENIED,1.00,0.726
2026-09-04T15:02:42,SpoofAttempt,DENIED,0.00,0.000
2026-09-04T15:02:44,Unknown,DENIED,1.00,0.752
2026-09-04T15:02:46,Unknown,DENIED,0.98,0.773
2026-09-04T15:02:48,Unknown,DENIED,0.99,0.748
2026-09-04T15:02:50,Unknown,DENIED,1.00,0.737
2026-09-04T15:02:52,Unknown,DENIED,1.00,0.730
2026-09-04T15:02:54,Unknown,DENIED,1.00,0.754
2026-09-04T15:19:22,Antriksh,GRANTED,1.00,0.751
2026-09-04T15:19:22,Unknown,DENIED,0.99,0.538
2026-09-04T15:19:24,Unknown,DENIED,1.00,0.568
2026-09-04T15:19:26,Unknown,DENIED,1.00,0.526
2026-09-04T15:19:28,Unknown,DENIED,1.00,0.493
2026-09-04T15:19:29,Antriksh,GRANTED,1.00,0.750
2026-09-04T15:19:34,Antriksh,GRANTED,1.00,0.889
2026-09-04T15:19:34,Unknown,DENIED,1.00,0.589
2026-09-04T15:19:38,Unknown,DENIED,0.99,0.570
2026-09-04T15:19:39,Antriksh,GRANTED,1.00,0.683
2026-09-04T15:19:44,Antriksh,GRANTED,0.99,0.782
2026-09-04T15:19:46,Unknown,DENIED,0.97,0.529
2026-09-04T15:19:48,Unknown,DENIED,0.90,0.567
2026-09-04T15:19:49,Antriksh,GRANTED,0.87,0.702
2026-09-04T15:19:50,Unknown,DENIED,0.98,0.246
2026-09-04T15:19:52,SpoofAttempt,DENIED,0.00,0.000
2026-09-04T15:19:54,Antriksh,GRANTED,0.95,0.834
2026-09-04T15:19:55,Unknown,DENIED,1.00,0.433
2026-09-04T15:19:57,SpoofAttempt,DENIED,0.00,0.000
2026-09-04T15:19:59,Antriksh,GRANTED,0.98,0.849
2026-09-04T15:20:02,Unknown,DENIED,0.87,0.580
2026-09-10T10:02:57,Antriksh,GRANTED,1.00,0.663
2026-09-10T10:02:58,Unknown,DENIED,1.00,0.636
2026-09-10T10:03:02,Antriksh,GRANTED,1.00,0.719
2026-09-10T10:03:05,Unknown,DENIED,0.99,0.159
2026-09-10T10:03:08,Unknown,DENIED,0.95,0.141
2026-09-10T10:03:10,Unknown,DENIED,1.00,0.202
2026-09-10T10:03:12,Unknown,DENIED,1.00,0.239
2026-09-10T10:03:14,Unknown,DENIED,1.00,0.154
2026-09-10T10:03:16,Unknown,DENIED,1.00,0.206
2026-09-10T10:03:18,Unknown,DENIED,0.98,0.367
2026-09-10T10:03:20,Unknown,DENIED,0.98,0.216
2026-09-10T10:03:21,Antriksh,GRANTED,1.00,0.703
2026-09-10T10:03:23,Unknown,DENIED,0.99,0.534
2026-09-10T10:03:25,Unknown,DENIED,1.00,0.326
2026-09-10T10:03:27,Unknown,DENIED,1.00,0.174
2026-09-10T10:03:29,Unknown,DENIED,1.00,0.223
2026-09-10T10:03:31,Unknown,DENIED,1.00,0.237
2026-09-10T10:03:33,Unknown,DENIED,1.00,0.233
2026-09-10T10:03:35,Unknown,DENIED,1.00,0.213
2026-09-10T10:03:37,Unknown,DENIED,1.00,0.088
2026-09-10T10:03:39,Unknown,DENIED,1.00,0.252
2026-09-10T10:03:41,Unknown,DENIED,1.00,0.230
2026-09-10T10:03:43,SpoofAttempt,DENIED,0.27,0.000
2026-09-10T10:03:45,SpoofAttempt,DENIED,0.23,0.000
2026-09-10T10:03:48,Unknown,DENIED,1.00,0.210
2026-09-10T10:03:49,Antriksh,GRANTED,1.00,0.686
2026-09-10T10:03:50,Unknown,DENIED,0.99,0.613
2026-09-10T10:29:02,Unknown,DENIED,1.00,0.221
2026-09-10T10:29:05,Unknown,DENIED,0.50,0.528
2026-09-10T10:29:07,Antriksh,GRANTED,1.00,0.685
2026-09-10T10:29:08,Unknown,DENIED,0.97,0.296
2026-09-10T10:29:10,Unknown,DENIED,0.73,0.197
2026-09-10T10:29:13,Unknown,DENIED,0.99,0.287
2026-09-10T10:29:15,Unknown,DENIED,0.94,0.359
2026-09-10T10:29:17,Unknown,DENIED,1.00,0.246
2026-09-10T10:29:19,Unknown,DENIED,0.99,0.251
2026-09-10T10:29:21,Unknown,DENIED,0.98,0.333
2026-09-10T10:29:23,Unknown,DENIED,1.00,0.328
2026-09-10T10:29:25,Unknown,DENIED,0.99,0.338
2026-09-10T10:29:27,Unknown,DENIED,1.00,0.219
2026-09-10T10:29:30,Unknown,DENIED,1.00,0.287
2026-09-10T10:29:32,Unknown,DENIED,1.00,0.353
2026-09-10T10:29:34,Unknown,DENIED,1.00,0.054
2026-09-10T10:29:37,Unknown,DENIED,0.99,0.164
2026-09-10T10:29:39,Unknown,DENIED,1.00,0.229
2026-09-10T10:29:41,Unknown,DENIED,0.99,0.326
2026-09-10T10:29:43,Unknown,DENIED,0.98,0.282
2026-09-10T10:29:45,Unknown,DENIED,1.00,0.058
2026-09-10T10:29:47,Unknown,DENIED,0.98,0.210
2026-09-10T10:29:49,Unknown,DENIED,1.00,0.227
2026-09-10T10:29:51,Unknown,DENIED,0.99,0.224
2026-09-10T10:29:53,Unknown,DENIED,0.96,0.302
2026-09-10T10:29:55,Unknown,DENIED,1.00,0.179
2026-09-10T10:29:57,Unknown,DENIED,1.00,0.288
2026-09-10T10:29:59,Unknown,DENIED,0.99,0.333
2026-09-10T10:30:01,Unknown,DENIED,0.99,0.257
2026-09-10T10:30:04,Unknown,DENIED,0.63,0.178
2026-09-10T10:30:06,Unknown,DENIED,0.77,0.249
2026-09-10T10:30:08,SpoofAttempt,DENIED,0.20,0.000
2026-09-10T10:30:10,Unknown,DENIED,0.78,0.247
